지자체,광역코드,수행기관코드,위수탁기간,이력_2020,이력_2021,이력_2022,이력_2023,이력_2024,이력_2025,이력_2026,시설유형구분,서비스_특화,서비스_응급안전,서비스_방문요양,서비스_재가노인,서비스_사서원소속,서비스_노인일자리,수탁법인명,수탁법인번호,사업자등록번호,고유번호,수행기관명,기관장명,우편번호,주소,배송지우편번호,배송지주소,대표전화,메인연락처,긴급연락처,팩스번호,이메일,복지부배정_전담사,복지부배정_생활사,복지부배정_대상자,현황_전담사_배정,현황_전담사_채용,현황_생활사_배정,현황_생활사_채용,현황_대상자_배정,현황_대상자_제공,공무원_성명,공무원_연락처,공무원_이메일,데이터기준일,기관명_확인
사천시,P08,A48240001,2026-01-01 ~ 2030-12-31 (5년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인사랑원,194232-0004727,609-82-11353,--,사랑원노인지원센터,최미경,52536,경상남도 사천시 사남면 사남로 847-15,52536,경상남도 사천시 사남면 사남로 847-15,055-853-8894,055-786-8894,010-6556-7520,070-8224-0175,sarangwon8894@hanmail.net,5,80,1200,3,3,47,47,723,704,장소윤,055-831-2076,bluesky8703@korea.kr,2026-01-06,사랑원노인지원센터
사천시,P08,A48240002,2026-01-01 ~ 2030-12-31 (5년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,사회복지법인 행복한집,195432-0001405,492-82-00210,492-82-00210,사천노인통합지원센터,박시현,52547,경상남도 사천시 백천길 16 행복한집,52547,경상남도 사천시 백천길 16 행복한집,055-833-3700,055-833-3700,010-7184-3700,055-835-4171,happy-4000@naver.com,6,96,1440,3,3,46,46,708,607,장소윤,055-831-2076,bluesky8703@korea.kr,2026-01-12,사천노인통합지원센터
사천시,P08,A48240003,2026-01-01 ~ 2030-12-31 (5년),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당,노인주거복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,남양양로원,195471-0000778,613-82-15270,613-82-15270,남양양로원,조덕래,52546,"경남 사천시 모충길 50 (송포동, 삼소원)",52546,"경남 사천시 모충길 50 (송포동, 삼소원)",055-835-9105,055-835-9105,010-8955-1554,055-835-9938,samsowon9100@hanmail.net,,,,4,4,43,43,713,563,장소윤,055-831-2076,blueky8703@korea.kr,2026-01-20,남양양로원
사천시,P08,A48240004,2026-01-01 ~ 2030-12-31 (5년),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사천건양주야간보호센터,195432-0001778,613-82-13122,613-82-13122,사천건양주야간보호센터,이종석,52515,경남 사천시 사천읍 구암두문로 338,52515,경남 사천시 사천읍 구암두문로 338,055-854-5913,055-854-5913,010-5548-3964,055-854-5912,cka2696@naver.com,,,,3,3,43,44,662,583,장소윤,055-831-2076,bluesky8703@korea.kr,2026-01-16,사천건양주야간보호센터
산청군,P09,A48860001,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,사회복지법인 한일복지재단,194832-0001664,509-82-63963,--,산청한일노인통합지원센터,이현호,52225,경상남도 산청군 산청읍 웅석봉로 67번길 24,52225,경상남도 산청군 산청읍 웅석봉로 67번길 24,055-974-1200,055-974-1200,010-4587-5790,055-974-1203,hanil1200@hanmail.net,2,35,512,2,2,35,35,512,501,허새롬,055-970-6853,saerom24@korea.kr,2026-01-07,산청한일노인통합지원센터
산청군,P09,A48860002,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 도산,194832-0001268,613-82-75623,613-82-75623,산청복음노인통합지원센터,이영란,52251,경상남도 산청군 단성면 목화로 998,52251,경상남도 산청군 단성면 목화로 998,055-973-5411,055-973-7900,010-3831-8374,055-973-5415,sswc5411@naver.com,2,34,512,2,2,34,34,512,496,허새롬,055-970-6853,westriky@korea.kr,2026-01-09,산청복음노인통합지원센터
산청군,P09,A48860003,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 두류복지재단,194832-0001987,482-82-00265,482-82-00265,산청해민노인통합지원센터,이해령,52249,경남 산청군 신안면 원지강변로 119,52249,경남 산청군 신안면 원지강변로 119,055-974-1991,055-974-1991,010-8524-4312,055-974-1994,drw111@hanmail.net,2,34,512,3,2,36,34,572,496,산청군 주무관 허새롬,055-970-6853,saerom24@korea.kr,2026-01-15,산청해민노인통합지원센터
산청군,P09,A48860004,2026-01-01 ~ 2028-12-31 (3년),해당없음,해당없음,해당없음,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인고려산청성모노인통합지원센터,194832-0001648,658-82-00241,658-82-00241,산청성모노인통합지원센터,권수경,52230,경남 산청군 금서면 친환경로 2016 (산청성모노인전문요양원),52230,경남 산청군 금서면 친환경로 2016 (산청성모노인전문요양원),055-974-1095,055-974-1095,010-4106-4455,055-972-0596,kr0093@hanmail.net,2,34,512,2,2,34,34,512,496,,,,2026-01-13,산청성모노인통합지원센터
양산시,P10,A48330001,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당,해당,해당없음,해당없음,사회복지법인신생원,190132-0000143,621-82-01189,826-82-00150,사회복지법인신생원양산재가노인복지센터,유미주,50629,"경남 양산시 강변로 441 (중부동, 양산지하철역) 101호",50629,"경남 양산시 강변로 441 (중부동, 양산지하철역) 101호 (짬뽕집맞은편문)",055-367-8904,055-367-8904,010-7100-3025,055-367-8906,ys3678904@daum.net,6,59,935,6,6,69,45,1093,620,김은진,055-392-2522,bnkim2@korea.kr,2026-01-08,사회복지법인신생원양산재가노인복지센터
양산시,P10,A48330004,2023-01-01 ~ 2025-12-31 (3년),해당없음,해당없음,해당없음,해당,해당,해당,해당,협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,양산행복한돌봄 사회적협동조합,234151-0003110,428-82-00198,--,양산행복한돌봄 사회적협동조합,노춘화,50616,"경남 양산시 중앙우회로 150 (북부동), 4층 양산행복한돌봄 사회적협동조합",50616,"경남 양산시 중앙우회로 150 (북부동), 4층 양산행복한돌봄 사회적협동조합",055-367-3750,055-367-3750,010-5525-4377,055-366-3760,hpcare3750@naver.com,4,59,885,4,4,54,52,835,684,김은진,055-392-2522,,2026-01-14,양산행복한돌봄 사회적협동조합
양산시,P10,A48330005,2026-01-01 ~ 2028-12-31 (3년),해당없음,해당없음,해당없음,해당,해당,해당,해당,노인주거복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회복지법인 성요셉의 집,234132-0001271,621-82-10091,--,성요셉소규모노인종합센터,김희정,50535,"경남 양산시 대운1길 111 (명동, 성요셉의집)",50535,"경남 양산시 대운1길 111 (명동, 성요셉의집)",055-365-1910,055-366-1113,055-365-1910,055-365-1907,stjoseph63@naver.com,4,59,880,4,4,54,44,835,603,김은진,055-392-2522,bnkim2@korea.kr,2026-01-09,성요셉소규모노인종합센터
의령군,P11,A48720001,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당,사회복지법인 일붕복지관,194532-0000307,608-82-11909,--,의령노인통합지원센터,정선남,52115,경상남도 의령군 궁류면 청정로 1224,52115,경상남도 의령군 궁류면 청정로 1224,055-572-0079,055-572-0991,010-8729-2137,055-572-8448,center0079@daum.net,5,80,1200,5,5,80,67,1200,1009,이미정,055-570-2232,cmkm125@korea.kr,2026-01-21,의령노인통합지원센터
진주시,P12,A48170001,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 진양복지재단,191132-0002495,613-82-16148,613-82-16148,진양노인통합지원센터,최미선,52640,경상남도 진주시 명석면 진주대로 2116,52640,경상남도 진주시 명석면 진주대로 2116,055-743-3466,070-4035-4513,010-8511-9922,055-743-3416,ah7210@naver.com,3,48,720,3,3,48,48,720,725,이예지,055-749-8492,lyj0907@korea.kr,2026-01-08,진양노인통합지원센터
진주시,P12,A48170002,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,사회복지법인은혜복지재단,191132-0000136,613-82-12536,613-82-12536,진주노인통합지원센터,김성광,52730,경상남도 진주시 장재새미길 53번길 35,52730,경상남도 진주시 장재새미길 53번길 35,055-761-0086,055-761-5172,010-7120-0852,055-757-0086,jinjugapa1@hanmail.net,3,48,720,3,3,48,48,720,726,이예지,055-749-8492,lyj0907@korea.k,2026-01-15,진주노인통합지원센터
진주시,P12,A48170003,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 진주복지재단,191232-0001702,613-82-10218,613-82-12161,나누리노인통합지원센터,김선옥,52638,경남 진주시 집현면 신당길 300-50,52638,경남 진주시 집현면 신당길 300-50,055-762-1001,055-762-1011,010-8507-5827,055-762-2008,jinjuwf@hanmail.net,4,62,930,4,4,62,62,930,930,이예지,055-749-8492,lyj8492@korea.kr,2026-01-21,나누리노인통합지원센터
진주시,P12,A48170004,2024-01-01 ~ 2026-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회복지법인 공덕원,191132-0002346,613-82-14887,613-82-14887,공덕의집노인통합지원센터,김은경,52655,"경남 진주시 의병로 65 (상봉동), 2층",52655,"경남 진주시 의병로 65 (상봉동), 2층",055-744-6556,055-744-6557,010-4693-4616,055-742-6556,gdw7446556@daum.net,3,48,720,3,3,48,48,720,736,이예지,055-749-8492,lyj0907@korea.kr,2026-01-08,공덕의집노인통합지원센터
진주시,P12,A48170005,2024-01-01 ~ 2026-12-31 (3년),해당없음,해당없음,해당없음,해당없음,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회복지법인 한얼,191132-0000572,613-82-07203,613-82-12220,하늘마음노인통합지원센터,정희정,52832,경남 진주시 문산읍 월아산로 1116 2층,52832,경남 진주시 문산읍 월아산로 1116 2층,055-763-2553,055-763-2553,010-4216-8532,055-795-2553,jjhanurl0@daum.net,3,48,720,3,3,48,48,720,737,진주시청 주무관 이예지,055-749-8545,herodmswl1@korea.kr,2026-01-14,하늘마음노인통합지원센터
창녕군,P13,A48740001,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,지역자활센터,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회적협동조합 이음터,195151-0005320,773-82-00313,--,창녕지역자활센터,하승범,50322,경상남도 창녕군 창녕읍 조산서재골로 7,50322,경상남도 창녕군 창녕읍 조산서재골로 7,055-532-0612,055-532-0612,010-4243-2306,055-532-8992,cnjahwal2003@daum.net,5,80,1200,6,5,83,76,1299,1176,성종윤,055-530-1405,eastday@korea.kr,2026-01-06,창녕지역자활센터
창녕군,P13,A48740002,2026-01-01 ~ 2028-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,사회복지법인 새누리복지재단,190132-0003072,608-82-12489,608-82-12489,창녕군새누리노인종합센터,권미진,50354,경상남도 창녕군 남지읍 덕동길 55,50354,경상남도 창녕군 남지읍 덕동길 55,055-526-1796,055-526-1796,010-4490-5857,055-526-1795,tosnfl7992@naver.com,5,80,1200,6,6,80,80,1200,1167,성종윤,055-530-1405,teenbjh@korea.kr,2026-01-15,창녕군새누리노인종합센터
창원시,P14,A48120001,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,사회복지법인 동진,194232-0004074,609-82-12861,609-82-12861,동진노인통합지원센터,강외숙,51115,경상남도 창원시 의창구 동읍 동읍로 517-14,51115,경상남도 창원시 의창구 동읍 동읍로 517-14,055-299-2233,055-299-2233,010-4590-2223,055-299-0300,2992233@hanmail.net,3,36,565,3,3,35,34,537,506,이민정 창원시청 주무관,055-225-3614,nuk9933@korea.kr,2026-01-22,동진노인통합지원센터
창원시,P14,A48120002,2022-01-01 ~ 2027-12-31 (6년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,사회적협동조합창원도우누리,194251-0008662,858-82-00157,--,창원도우누리노인통합재가센터,김미득,51157,"경상남도 창원시 의창구 대봉로 26번길 4-5, 3층",51157,"경남 창원시 의창구 대봉로26번길 24 (봉림동), ks빌딩 1층",055-262-2773,055-262-2773,010-3498-9242,055-265-2770,dounuri27@daum.net,5,52,805,5,5,53,54,837,781,이민정,055-225-3614,nuk9933@korea.kr,2026-01-16,창원도우누리 노인종합재가센터
창원시,P14,A48120004,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,명진복지재단,190132-0004004,608-82-16506,--,명진노인통합지원센터,이형숙,51781,경상남도 창원시 마산합포구 구산면 마전길 335-1,51781,경상남도 창원시 마산합포구 구산면 마전길 335-1,055-271-0483,055-271-0483,010-7472-6321,055-271-0484,mjwelfare6023@hanmail.net,3,43,645,3,3,44,43,662,640,이민정,552253614,nuk9933@korea.kr,2026-01-21,명진노인통합지원센터
창원시,P14,A48120005,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,협동조합,해당,해당없음,해당,해당없음,해당없음,해당없음,플러스희망 사회적협동조합,191551-0005780,418-82-09440,--,마산희망지역자활센터,최미혜,51731,경남 창원시 마산합포구 동서북7길 49 (남성동) 2층,51731,경남 창원시 마산합포구 동서북7길 49 (남성동) 2층,070-4708-3402,055-224-2510,010-7367-6685,055-602-2511,plushp2015@naver.com,4,45,700,4,4,47,45,717,683,이민정,055-225-3614,nuk9933@korea.kr,2026-01-14,마산희망지역자활센터
창원시,P14,A48120008,2025-01-01 ~ 2027-12-31 (3년),해당,해당,해당,해당,해당,해당,해당,재가노인복지시설,해당,해당없음,해당,해당,해당없음,해당없음,인애복지재단,190132-0000177,608-82-13061,608-82-13061,경남노인통합지원센터,김양언,51351,경상남도 창원시 마산회원구 팔용로 272,51351,경상남도 창원시 마산회원구 팔용로 272,055-298-8602,055-298-8602,010-5501-0425,055-243-1390,knsw04@knsw.or.kr,4,47,730,5,4,47,47,747,702,노인장애인과 이민정,055-225-3614,nuk9933@korea.kr,2026-01-21,경남노인통합지원센터
